optimization_stamp,window_index,frame_stamp,jacobian_count,covariance_radius,alpha_weight,constraint_count,mean_beta_weight,mean_hybrid_weight,reference_radius,feature_source
1403638603.1778295,2,1403638602.3778296,57,0.0020746449300777714,0.96753417054174329,57,2.8771929824561404,1.6709477718674914,0.0020072898615914295,0
1403638603.1778295,3,1403638602.4778295,47,0.0022543278113948194,0.8904161371053928,47,2.9326241134751769,1.644896613630219,0.0020072898615914295,0
1403638603.1778295,4,1403638602.5778294,44,0.0021876856293711832,0.9175403607548468,44,2.7386363636363633,1.5889103624052994,0.0020072898615914295,0
1403638603.1778295,5,1403638602.6778295,55,0.0018752035296850263,1.0704383976541412,55,2.5118181818181826,1.5686136225726113,0.0020072898615914295,0
1403638603.1778295,6,1403638602.7778294,58,0.0017702342653045959,1.13391199172503,58,2.2020114942528735,1.5005509158821209,0.0020072898615914295,0
1403638603.1778295,7,1403638602.8778296,50,0.0018412558008730653,1.0901743585218502,50,1.8786666666666669,1.3956493022331709,0.0020072898615914295,0
1403638603.1778295,8,1403638602.9778295,52,0.0018527555690572028,1.0834078143469639,52,1.9802197802197803,1.4159955274269853,0.0020072898615914295,0
1403638603.1778295,9,1403638603.0778294,49,0.0018875208785876581,1.0634530639435305,49,1.4254373177842563,1.2219128130401995,0.0020072898615914295,0
1403638603.1778295,10,1403638603.1778295,46,0.0019798321490669267,1.0138687072727066,46,1.1667701863354041,1.1044911413224765,0.0020072898615914295,0
1403638603.1778295,0,1403638602.1778295,0,-1,1,0,1,1,0.0020072898615914295,1
1403638603.1778295,1,1403638602.2778294,99,0.0017791882680664977,1.1282054280701936,99,3.4646464646464645,1.9655516155688475,0.0020072898615914295,1
1403638603.1778295,2,1403638602.3778296,105,0.0016436392549000346,1.2212472144403195,105,2.7238095238095239,1.7598243265098479,0.0020072898615914295,1
1403638603.1778295,3,1403638602.4778295,81,0.0020596449749290939,0.97458051558644632,81,2.7222222222222219,1.685697264920671,0.0020072898615914295,1
1403638603.1778295,4,1403638602.5778294,79,0.0017582588112620896,1.1416350361700072,79,2.5063291139240502,1.6470456574603223,0.0020072898615914295,1
1403638603.1778295,5,1403638602.6778295,83,0.0021748283982979447,0.92296470984210366,83,2.4929718875502012,1.5684619620468259,0.0020072898615914295,1
1403638603.1778295,6,1403638602.7778294,81,0.0020151382673627939,0.99610527679490912,81,2.0958847736625521,1.4417398936035075,0.0020072898615914295,1
1403638603.1778295,7,1403638602.8778296,77,0.0018183300770649258,1.1039194076531555,77,1.9651205936920215,1.4213043511726686,0.0020072898615914295,1
1403638603.1778295,8,1403638602.9778295,77,0.001665921237577548,1.2049128231958151,77,1.9881725417439704,1.4635726003459395,0.0020072898615914295,1
1403638603.1778295,9,1403638603.0778294,68,0.0018273721383155477,1.0984570791594361,68,1.4324229691876751,1.2519558575825629,0.0020072898615914295,1
1403638603.1778295,10,1403638603.1778295,61,0.0020638204014934349,0.97260878908789816,61,1.1740307051782461,1.1235224970068638,0.0020072898615914295,1
1403638603.2778294,0,1403638602.2778294,0,-1,1,0,1,1,0.0020007236598744761,0
1403638603.2778294,1,1403638602.3778296,57,0.002074620359611768,0.96438061576185408,57,3.263157894736842,1.7564175650497909,0.0020007236598744761,0
1403638603.2778294,2,1403638602.4778295,47,0.002252869193223205,0.88807804105662191,47,3.2234042553191489,1.6955831605706628,0.0020007236598744761,0
1403638603.2778294,3,1403638602.5778294,44,0.0021886754117677303,0.91412534225828812,44,3.1818181818181817,1.6918184486444998,0.0020007236598744761,0
